BIDU, buy, 4, 155.55, 2021-08-31T19:37:14.048716Z
JD, sell, 18, 78.13, 2021-08-31T19:37:40.790057Z
RCL, sell, 1, 82.675, 2021-08-31T19:41:32.539763Z
RCL, sell, 57, 82.6701, 2021-08-31T19:41:32.566524Z
ABNB, buy, 5, 154.27, 2021-08-31T19:50:00.373206Z
PDD, sell, 5, 99.01, 2021-08-31T19:50:02.06683Z
BILI, sell, 13, 79.51, 2021-08-31T19:50:02.490848Z
JD, sell, 19, 78.38, 2021-08-31T19:51:10.855048Z
RCL, sell, 6, 82.84, 2021-08-31T19:52:12.059671Z
DASH, sell, 5, 191.86, 2021-08-31T19:52:52.912492Z
RCL, sell, 58, 82.86, 2021-08-31T19:53:00.238489Z
NCLH, sell, 24, 25.87, 2021-08-31T19:53:19.425994Z
BIDU, sell, 4, 156.79, 2021-08-31T19:54:36.711667Z
JD, sell, 19, 78.64, 2021-08-31T19:54:50.127076Z
BILI, sell, 13, 79.87, 2021-08-31T19:55:05.131425Z
JD, sell, 18, 78.89, 2021-08-31T19:55:06.437931Z
PDD, sell, 5, 99.88, 2021-08-31T19:55:06.801403Z
CWEB, sell, 2, 22.91, 2021-08-31T19:55:52.369695Z
LABU, sell, 7, 66.13, 2021-08-31T19:55:58.695824Z
TZA, buy, 21, 28.68, 2021-08-31T19:56:54.976223Z
FTCH, sell, 12, 41.92, 2021-08-31T19:57:17.471218Z
FNGU, sell, 16, 38.71, 2021-08-31T19:57:50.942969Z
JD, buy, 18, 78.64, 2021-08-31T19:57:52.331732Z
DIDI, sell, 62, 8.19, 2021-08-31T19:58:40.043823Z
RCL, buy, 58, 82.69, 2021-08-31T19:59:37.318876Z
SVXY, sell, 9, 57.93, 2021-08-31T20:01:16.072806Z
BILI, buy, 14, 80.02, 2021-08-31T20:04:53.755303Z
RCL, buy, 8, 72.51, 2021-12-17T16:51:33.635912314Z
RCL, buy, 92, 72.51, 2021-12-17T16:51:33.639056934Z
RCL, buy, 15, 72.51, 2021-12-17T16:51:34.139851749Z
RCL, buy, 4, 72.51, 2021-12-17T16:51:34.142221639Z
RCL, buy, 25, 72.51, 2021-12-17T16:51:34.146552639Z
RCL, buy, 14, 72.51, 2021-12-17T16:51:34.150041449Z
BABA, buy, 37, 121.46, 2021-12-17T16:51:48.901878061Z
CWEB, buy, 70, 12.71, 2021-12-17T16:52:08.196962393Z
JD, buy, 24, 71.665, 2021-12-17T16:52:08.391884065Z
RCL, sell, 15, 72.63, 2021-12-17T16:53:47.482552628Z
RCL, sell, 2, 72.63, 2021-12-17T16:53:47.487736757Z
RCL, sell, 25, 72.63, 2021-12-17T16:53:47.489843928Z
RCL, sell, 2, 72.63, 2021-12-17T16:53:47.491728968Z
CWEB, sell, 70, 12.78, 2021-12-17T16:53:53.635648481Z
RCL, buy, 10, 72.51, 2021-12-17T16:55:02.259368452Z
RCL, buy, 8, 72.51, 2021-12-17T16:55:02.262616562Z
RCL, buy, 25, 72.51, 2021-12-17T16:55:02.265636232Z
RCL, buy, 1, 72.5095, 2021-12-17T16:55:02.501849965Z
CCL, buy, 36, 18.26, 2021-12-17T16:55:15.766526064Z
BABA, buy, 20, 121.21, 2021-12-17T16:55:28.241041666Z
BABA, sell, 19, 121.45, 2021-12-17T16:56:44.060108044Z
RCL, sell, 25, 72.65, 2021-12-17T16:59:01.785493964Z
RCL, sell, 25, 72.65, 2021-12-17T16:59:01.791548324Z
RCL, sell, 2, 72.65, 2021-12-17T16:59:01.793867424Z
RCL, buy, 60, 72.49, 2021-12-17T17:00:42.239913735Z
RCL, buy, 44, 72.37, 2021-12-17T17:01:00.782557782Z
RCL, buy, 41, 72.26, 2021-12-17T17:01:20.227413935Z
RCL, sell, 6, 72.4, 2021-12-17T17:02:08.640690444Z
RCL, sell, 25, 72.4, 2021-12-17T17:02:08.644089524Z
RCL, sell, 21, 72.4, 2021-12-17T17:02:08.646193864Z
RCL, buy, 45, 72.28, 2021-12-17T17:02:46.185155916Z
NCLH, buy, 36, 20.2, 2021-12-17T17:03:43.813284366Z
RCL, buy, 35, 72.16, 2021-12-17T17:03:56.448153545Z
RCL, buy, 10, 72.16, 2021-12-17T17:03:56.451430495Z
CCL, buy, 19, 18.2, 2021-12-17T17:06:13.516813173Z
BABA, buy, 11, 121.32, 2021-12-17T17:06:14.185932379Z
AAL, buy, 14, 17.08, 2021-12-17T17:06:15.968691564Z
WYNN, buy, 3, 81.36, 2021-12-17T17:06:16.296072787Z
BABA, buy, 10, 121.19, 2021-12-17T17:06:32.237420906Z
JD, buy, 13, 71.57, 2021-12-17T17:06:32.497626918Z
RCL, buy, 22, 72.09, 2021-12-17T17:06:33.479037867Z
BA, buy, 1, 192.755, 2021-12-17T17:06:53.658430343Z
CWEB, buy, 40, 12.74, 2021-12-17T17:06:53.662319873Z
BABA, buy, 11, 121.06, 2021-12-17T17:06:56.6101576Z
BABA, buy, 19, 120.82, 2021-12-17T17:07:06.577290517Z
RCL, buy, 41, 71.99, 2021-12-17T17:07:55.453984067Z
BABA, sell, 19, 121.06, 2021-12-17T17:08:15.11391102Z
NCLH, buy, 20, 20.13, 2021-12-17T17:08:23.582736534Z
RCL, sell, 53, 72.22, 2021-12-17T17:11:49.041035384Z
RCL, sell, 25, 72.2217, 2021-12-17T17:11:49.126684805Z
RCL, sell, 4, 72.2218, 2021-12-17T17:11:49.130169975Z
CWEB, sell, 70, 12.815, 2021-12-17T17:12:22.808214513Z
CWEB, sell, 79, 12.82, 2021-12-17T17:12:27.779274926Z
RCL, buy, 22, 72.15, 2021-12-17T17:13:21.51110506Z
CWEB, buy, 70, 12.82, 2021-12-17T17:13:31.068004416Z
CWEB, sell, 40, 12.86, 2021-12-17T17:14:34.077941376Z
JD, sell, 24, 71.76, 2021-12-17T17:14:34.098326907Z
BABA, sell, 19, 121.17, 2021-12-17T17:14:53.839324668Z
RCL, sell, 52, 72.39, 2021-12-17T17:16:05.187495343Z
RCL, sell, 37, 72.39, 2021-12-17T17:16:05.206140823Z
RCL, buy, 22, 72.3, 2021-12-17T17:16:36.443264826Z
RCL, buy, 22, 72.21, 2021-12-17T17:17:21.163511589Z
JD, sell, 15, 71.87, 2021-12-17T17:17:44.137869351Z
JD, sell, 10, 71.94, 2021-12-17T17:17:51.261690151Z
JD, sell, 14, 71.94, 2021-12-17T17:17:51.388156263Z
BABA, sell, 19, 121.4, 2021-12-17T17:17:55.042364643Z
JD, buy, 24, 71.87, 2021-12-17T17:18:37.727540135Z
AAL, buy, 13, 17, 2021-12-17T17:18:55.638890848Z
BABA, buy, 11, 121.27, 2021-12-17T17:19:25.692680667Z
BABA, buy, 10, 121.14, 2021-12-17T17:21:04.663125832Z
RCL, sell, 3, 72.1, 2021-12-17T17:22:49.826756476Z
RCL, sell, 25, 72.1, 2021-12-17T17:22:49.829074436Z
RCL, sell, 25, 72.1, 2021-12-17T17:22:49.831011406Z
RCL, sell, 3, 72.1, 2021-12-17T17:22:49.851089856Z
RCL, sell, 5, 72.1, 2021-12-17T17:22:49.891978237Z
RCL, sell, 5, 72.1, 2021-12-17T17:22:49.895490877Z
RCL, sell, 2, 72.1, 2021-12-17T17:22:49.898788347Z
JD, sell, 36, 71.78, 2021-12-17T17:22:52.834937041Z
RCL, buy, 23, 72.04, 2021-12-17T17:24:30.962128159Z
JD, buy, 13, 71.66, 2021-12-17T17:24:44.801516184Z
RCL, buy, 22, 71.965, 2021-12-17T17:25:46.777627924Z
TQQQ, sell, 17, 57.61, 2022-01-31T09:01:22.615102502Z
BABA, sell, 9, 116.86, 2022-01-31T09:01:28.84116802Z
CCL, sell, 39, 19.07, 2022-01-31T09:01:44.405723496Z
BABA, sell, 5, 116.99, 2022-01-31T09:01:53.393930015Z
JD, sell, 36, 71.65, 2022-01-31T09:02:21.774618633Z
BABA, buy, 1, 116.9, 2022-01-31T09:11:07.508258756Z
BABA, buy, 20, 116.89, 2022-01-31T09:11:20.7567606Z
JD, sell, 157, 71.49, 2022-01-31T09:13:33.149184608Z
RCL, buy, 89, 74.39, 2022-01-31T09:25:47.761688083Z
BABA, sell, 7, 117.15, 2022-01-31T09:45:43.752046463Z
BABA, sell, 14, 117.15, 2022-01-31T09:45:43.757221913Z
TQQQ, buy, 9, 57.08, 2022-01-31T10:11:10.459969804Z
BABA, buy, 26, 116.83, 2022-01-31T10:37:54.156723274Z
BABA, sell, 20, 117.05, 2022-01-31T10:54:37.171551723Z
CCL, buy, 36, 18.95, 2022-01-31T11:19:28.299715477Z
BABA, buy, 19, 116.84, 2022-01-31T11:33:25.701799718Z
JD, buy, 36, 71.54, 2022-01-31T12:04:52.110565384Z
BABA, buy, 20, 116.62, 2022-01-31T12:05:54.128515327Z
JD, buy, 22, 71.41, 2022-01-31T12:07:23.536524313Z
JD, buy, 14, 71.41, 2022-01-31T12:07:23.540057913Z
TQQQ, buy, 9, 56.59, 2022-01-31T12:07:36.884679831Z
BABA, buy, 20, 116.4, 2022-01-31T12:08:13.720765985Z
RCL, buy, 108, 74.11, 2022-01-31T12:09:07.403349775Z
BABA, buy, 26, 116.11, 2022-01-31T12:09:10.124712922Z
JD, buy, 34, 71.28, 2022-01-31T12:09:22.41108517Z
JD, sell, 34, 71.41, 2022-01-31T12:09:51.226158889Z
RCL, buy, 42, 74, 2022-01-31T12:11:02.713445536Z
BABA, sell, 21, 116.34, 2022-01-31T12:12:39.187950198Z
JD, buy, 28, 71.28, 2022-01-31T12:19:25.607345184Z
JD, buy, 8, 71.28, 2022-01-31T12:19:25.609715524Z
BABA, sell, 5, 116.56, 2022-01-31T12:21:02.568044835Z
JD, buy, 44, 71.12, 2022-01-31T12:21:35.255594798Z
TQQQ, buy, 9, 56.1, 2022-01-31T12:22:22.066523288Z
NCLH, buy, 35, 19.41, 2022-01-31T12:23:42.158855854Z
CCL, buy, 38, 18.82, 2022-01-31T12:23:43.25796035Z
JD, sell, 47, 71.29, 2022-01-31T12:28:00.697528791Z
BABA, buy, 6, 116.18, 2022-01-31T12:29:00.763924213Z
BABA, sell, 20, 116.55, 2022-01-31T12:35:40.422898764Z
TQQQ, sell, 3, 56.6, 2022-01-31T12:47:46.145199085Z
BABA, sell, 19, 116.77, 2022-01-31T12:51:02.517703322Z
BABA, sell, 19, 116.98, 2022-01-31T12:51:04.331116564Z
BABA, buy, 20, 116.76, 2022-01-31T12:56:06.066399664Z
CCL, sell, 35, 18.94, 2022-01-31T12:57:26.180670375Z
JD, sell, 49, 71.55, 2022-01-31T13:00:01.739104903Z
JD, sell, 23, 71.55, 2022-01-31T13:00:01.743295692Z
JD, buy, 36, 71.42, 2022-01-31T13:06:39.754017244Z
JD, sell, 36, 71.55, 2022-01-31T13:07:12.489268995Z
BABA, buy, 22, 116.51, 2022-01-31T13:23:24.358386861Z
BABA, sell, 20, 116.73, 2022-01-31T13:26:43.344111748Z
JD, buy, 16, 71.41, 2022-01-31T13:27:20.599454954Z
JD, buy, 19, 71.41, 2022-01-31T13:27:20.674707747Z
BABA, sell, 20, 116.95, 2022-01-31T13:29:48.587646025Z
CCL, buy, 10, 20.23, 2022-03-31T16:09:54.518106045-04:00
CCL, buy, 43, 20.22, 2022-03-31T16:26:28.221985946-04:00
RCL, buy, 10, 83.88, 2022-03-31T16:51:00.819012533-04:00
RCL, buy, 35, 83.9889, 2022-03-31T16:51:00.821736452-04:00
RCL, buy, 45, 84.02, 2022-03-31T16:51:03.06544936-04:00
RCL, buy, 41, 84.03, 2022-03-31T16:51:04.355411763-04:00
RCL, buy, 41, 84.03, 2022-03-31T16:51:05.119685215-04:00
RCL, buy, 42, 84.03, 2022-03-31T16:51:07.94749378-04:00
RCL, buy, 45, 84.03, 2022-03-31T16:51:09.226897755-04:00
RCL, buy, 42, 84.03, 2022-03-31T16:51:12.352028163-04:00
RCL, buy, 45, 83.96, 2022-03-31T16:51:13.690664273-04:00
