Date,Open,High,Low,Close,Adj Close,Volume,Change Percent,Temp Change Percent,Temp std derivation,Low Bound, High Bound,Fat change,Basic changes, Bottom,Top, Fat Position Change, Basic Position Change, Basic Change Price, Position, Offset, Cash,trading profit,Balance
11/07/2017,11.94,12.27,11.92,12.05,12.05,6.79002e+07,0.0100587,0.0100587,0.0234991,-0.023334, 0.0234991,0,0.0100587, 28.9543,54.5855, 0, -10.0084, 11.9898, 1510.7, 0, -12170.4,3.31043,6033.56
11/08/2017,11.94,11.95,11.51,11.71,11.71,5.9065e+07,-0.0282158,-0.0282158,0.0234534,-0.0232899, 0.0234534,-0.00504329,-0.0232899, 28.8387,54.3102, -5.05605, 23.5654, 11.9089, 1534.27, 0, -12448.4,2.6923,5517.93
11/09/2017,11.25,11.35,11.03,11.12,11.12,7.68212e+07,-0.0503843,-0.0503843,0.0235784,-0.0234124, 0.0235784,-0.0276185,-0.0234124, 27.9613,52.8102, -28.0071, 23.6908, 11.5721, 1557.96, 0, -12721,1.47579,4603.48
11/10/2017,11.22,11.43,11.12,11.26,11.26,5.02099e+07,0.0125899,0.0125899,0.024351,-0.0241779, 0.024351,0,0.0125899, 27.4689,52.8102, 0, -12.5113, 11.1898, 1545.45, 0, -12577.7,3.3176,4824.03
11/13/2017,11.18,11.2,10.92,11.09,11.09,5.40683e+07,-0.0150977,-0.0150977,0.0244054,-0.0242334, 0.0244054,0,-0.0150977, 27.4347,52.8102, 0, 15.2128, 11.1747, 1560.66, 0, -12744.4,3.32794,4563.34
11/14/2017,11.03,11.26,11,11.12,11.12,3.7245e+07,0.00270514,0.00270514,0.0244633,-0.02429, 0.0244633,0,0.00270514, 27.3983,52.8102, 0, -2.70149, 11.105, 1557.96, 0, -12711.1,3.32292,4613.44
11/15/2017,11.01,11.13,10.77,11.07,11.07,3.35247e+07,-0.0044964,-0.0044964,0.0234328,-0.023267, 0.0234328,0,-0.0044964, 28.0556,52.8102, 0, 4.50654, 11.095, 1562.47, 0, -12758,3.0461,4538.48
11/16/2017,11.13,11.32,11.13,11.25,11.25,3.18004e+07,0.0162602,0.0162602,0.0234246,-0.0232577, 0.0234246,0,0.0162602, 28.0609,52.8102, 0, -16.1294, 11.1596, 1546.34, 0, -12575,3.06172,4821.33
11/17/2017,11.3,11.75,11.28,11.38,11.38,5.67756e+07,0.0115556,0.0115556,0.023531,-0.0233644, 0.023531,0,0.0115556, 27.992,52.8102, 0, -11.4893, 11.3148, 1534.85, 0, -12441.8,3.13254,5024.74
11/20/2017,11.47,11.51,11.19,11.34,11.34,3.59602e+07,-0.00351494,-0.00351494,0.0235776,-0.0234116, 0.0235776,0,-0.00351494, 27.9618,52.8102, 0, 3.52113, 11.36, 1538.37, 0, -12478.7,3.15753,4966.43
11/21/2017,11.42,11.49,11.24,11.4,11.4,3.18817e+07,0.00529101,0.00529101,0.0234478,-0.0232826, 0.0234478,0,0.00529101, 28.0459,52.8102, 0, -5.27706, 11.37, 1533.09, 0, -12415.5,3.12561,5061.7
11/22/2017,11.41,11.49,11.3,11.37,11.37,2.38165e+07,-0.00263158,-0.00263158,0.023343,-0.0231787, 0.023343,0,-0.00263158, 28.114,52.8102, 0, 2.63505, 11.385, 1535.73, 0, -12442.4,3.10182,5018.77
11/24/2017,11.38,11.42,11.3,11.38,11.38,1.10358e+07,0.000879507,0.000879507,0.0232577,-0.0230937, 0.0232577,0,0.000879507, 28.1697,52.8102, 0, -0.879121, 11.375, 1534.85, 0, -12429.4,3.07648,5037.2
11/27/2017,11.34,11.74,11.34,11.55,11.55,4.17983e+07,0.0149385,0.0149385,0.0230293,-0.022867, 0.0230293,0,0.0149385, 28.3194,52.8102, 0, -14.828, 11.4647, 1520.02, 0, -12256.3,3.04015,5299.9
11/28/2017,11.45,11.54,11,11.17,11.17,6.53257e+07,-0.0329004,-0.0329004,0.0231368,-0.0229745, 0.0231368,-0.0101593,-0.0229745, 27.9618,52.2737, -10.2113, 23.2425, 11.4166, 1543.26, 0, -12519.6,2.11877,4718.68
11/29/2017,11.08,11.17,10.73,10.83,10.83,6.33338e+07,-0.0304387,-0.0304387,0.0233875,-0.0232219, 0.0233875,-0.00738832,-0.0232219, 27.5944,51.8875, -7.41575, 23.4958, 11.0395, 1566.76, 0, -12776.7,2.29044,4191.34
11/30/2017,10.87,11.03,10.76,10.89,10.89,4.3205e+07,0.00554017,0.00554017,0.0235895,-0.0234211, 0.0235895,0,0.00554017, 27.4657,51.8875, 0, -5.52488, 10.86, 1561.23, 0, -12713.6,3.0216,4288.2
12/01/2017,10.81,10.97,10.53,10.73,10.73,4.21288e+07,-0.0146924,-0.0146924,0.0236273,-0.0234592, 0.0236273,0,-0.0146924, 27.4418,51.8875, 0, 14.8014, 10.8097, 1576.03, 0, -12870.6,3.01726,4040.24
12/04/2017,10.85,10.86,9.82,10.03,10.03,9.73283e+07,-0.0652377,-0.0652377,0.0236518,-0.0234825, 0.0236518,-0.0427592,-0.0234825, 26.2535,49.6688, -43.7003, 23.7626, 10.6033, 1599.8, 0, -13121.5,1.05136,2924.44
12/05/2017,9.89,10.34,9.7,9.91,9.91,6.73041e+07,-0.0119641,-0.0119641,0.024702,-0.0245236, 0.024702,0,-0.0119641, 25.6285,49.6688, 0, 12.0363, 9.96982, 1611.83, 0, -13238.5,3.04174,2734.79
12/06/2017,9.9,10.05,9.71,10,10,3.89522e+07,0.00908174,0.00908174,0.0244616,-0.0242849, 0.0244616,0,0.00908174, 25.7696,49.6688, 0, -9.04074, 9.9549, 1602.79, 0, -13145.5,2.97836,2882.42
12/07/2017,10.07,10.19,9.95,10.04,10.04,3.26656e+07,0.004,0.004,0.0244447,-0.0242686, 0.0244447,0,0.004, 25.7796,49.6688, 0, -3.99202, 10.02, 1598.8, 0, -13102.5,2.99368,2949.45
12/08/2017,10.15,10.2,9.92,9.94,9.94,3.4897e+07,-0.00996016,-0.00996016,0.0235303,-0.023361, 0.0235303,0,-0.00996016, 26.3273,49.6688, 0, 10.0101, 9.98987, 1608.81, 0, -13199.7,2.76557,2791.84
12/11/2017,9.97,10.16,9.96,10.16,10.16,2.99564e+07,0.0221328,0.0221328,0.0234071,-0.0232374, 0.0234071,0,0.0221328, 26.4024,49.6688, 0, -21.8914, 10.0494, 1586.92, 0, -12977,2.753,3146.11
12/12/2017,10.13,10.14,9.88,9.9,9.9,3.6211e+07,-0.0255906,-0.0255906,0.0236164,-0.0234465, 0.0236164,-0.00219553,-0.0234465, 26.2173,49.5598, -2.19794, 23.7257, 10.0402, 1610.64, 0, -13212.6,2.56015,2732.74
12/13/2017,9.97,10.21,9.95,10.11,10.11,4.14948e+07,0.0212121,0.0212121,0.0224056,-0.0222431, 0.0224056,0,0.0212121, 26.966,49.5598, 0, -20.9903, 10.0044, 1589.65, 0, -13000.1,2.51117,3071.27
12/14/2017,10.1,10.17,9.96,10.13,10.13,2.90068e+07,0.00197824,0.00197824,0.0225554,-0.0223922, 0.0225554,0,0.00197824, 26.8716,49.5598, 0, -1.97629, 10.12, 1587.68, 0, -12977.6,2.57426,3105.62
12/15/2017,10.13,10.32,10.02,10.29,10.29,4.54623e+07,0.0157947,0.0157947,0.0224845,-0.0223221, 0.0224845,0,0.0157947, 26.9162,49.5598, 0, -15.6712, 10.2097, 1572.01, 0, -12815,2.58077,3360.97
12/18/2017,10.6,11,10.51,10.98,10.98,6.37977e+07,0.0670554,0.0670554,0.0225768,-0.0224146, 0.0225768,0.0434966,0.0225768, 28.0264,51.7155, 42.5772, -22.3257, 10.4055, 1549.68, 0, -12581.8,0.906135,4433.73
12/19/2017,11,11.19,10.87,10.95,10.95,4.38529e+07,-0.00273224,-0.00273224,0.0238659,-0.0236961, 0.0238659,0,-0.00273224, 27.2007,51.7155, 0, 2.73598, 10.965, 1552.42, 0, -12608.6,3.12273,4390.33
12/20/2017,11.1,11.18,10.8,10.98,10.98,3.14203e+07,0.00273973,0.00273973,0.022292,-0.0221341, 0.022292,0,0.00273973, 28.2139,51.7155, 0, -2.73598, 10.965, 1549.68, 0, -12575.9,2.72443,4439.58
12/21/2017,10.98,11.08,10.87,10.89,10.89,2.18843e+07,-0.00819672,-0.00819672,0.0222453,-0.0220868, 0.0222453,0,-0.00819672, 28.2449,51.7155, 0, 8.2305, 10.9349, 1557.91, 0, -12663.2,2.70558,4302.45
12/22/2017,10.75,10.77,10.2,10.54,10.54,5.07445e+07,-0.0321396,-0.0321396,0.0220214,-0.021864, 0.0220214,-0.0105053,-0.021864, 28.0955,51.1722, -10.5609, 22.1065, 10.7703, 1580.02, 0, -12899.5,1.76395,3753.85
12/26/2017,10.38,10.58,10.34,10.46,10.46,2.04379e+07,-0.00759013,-0.00759013,0.021494,-0.0213388, 0.021494,0,-0.00759013, 28.4474,51.1722, 0, 7.61908, 10.4999, 1587.64, 0, -12977.1,2.42544,3629.57
12/27/2017,10.45,10.74,10.4,10.53,10.53,2.29218e+07,0.00669216,0.00669216,0.0214277,-0.0212722, 0.0214277,0,0.00669216, 28.4921,51.1722, 0, -6.66987, 10.4949, 1580.97, 0, -12904.7,2.40937,3742.88
12/28/2017,10.57,10.64,10.43,10.55,10.55,1.86094e+07,0.00189934,0.00189934,0.0213888,-0.0212339, 0.0213888,0,0.00189934, 28.5184,51.1722, 0, -1.89753, 10.54, 1579.07, 0, -12882.3,2.41092,3776.89
12/29/2017,10.57,10.58,10.27,10.28,10.28,2.66789e+07,-0.0255924,-0.0255924,0.0213865,-0.0212317, 0.0213865,-0.00445533,-0.0212317, 28.3929,50.9442, -4.46528, 21.4603, 10.4374, 1600.53, 0, -13104.3,1.97293,3349.14
01/02/2018,10.42,11.02,10.34,10.98,10.98,4.41463e+07,0.0680934,0.0641595,0.0215953,-0.0214377, 0.0215953,0.0455152,0.0215953, 29.5388,53.2629, 44.5098, -21.3654, 10.3904, 1579.16, 0, -12881.5,0.779629,4457.69
01/03/2018,11.61,12.14,11.36,11.55,11.55,1.54067e+08,0.0519126,0.0519126,0.022993,-0.0228267, 0.022993,0.0282695,0.022993, 29.3944,54.7686, 27.8773, -22.7327, 11.1055, 1556.43, 0, -12627.8,1.31673,5349.03
01/04/2018,12.1,12.43,11.97,12.12,12.12,1.09503e+08,0.0493506,0.0493506,0.023815,-0.0236454, 0.023815,0.0249417,0.023815, 29.5597,56.1347, 24.6357, -23.5359, 11.6867, 1532.9, 0, -12351.1,1.61875,6227.62
01/05/2018,12.19,12.22,11.66,11.88,11.88,6.38089e+07,-0.019802,-0.019802,0.0245006,-0.0243285, 0.0245006,0,-0.019802, 29.0983,56.1347, 0, 20.0007, 11.9994, 1552.9, 0, -12587.5,3.6015,5860.93
01/08/2018,12.01,12.3,11.85,12.28,12.28,6.3346e+07,0.03367,0.03367,0.0246393,-0.0244653, 0.0246393,0.00881362,0.0246393, 29.2619,56.6294, 8.77501, -24.3406, 12.0255, 1528.56, 0, -12292.1,2.68857,6478.59
01/09/2018,12,12.02,11.71,11.82,11.82,6.25609e+07,-0.0374593,-0.0374593,0.0249198,-0.0247458, 0.0249198,-0.0130361,-0.0247458, 28.6964,55.8912, -13.1218, 25.0571, 12.1271, 1553.61, 0, -12593.5,2.46624,5770.22
01/10/2018,11.63,12.15,11.56,11.96,11.96,5.25612e+07,0.0118443,0.0118443,0.0253678,-0.025189, 0.0253678,0,0.0118443, 28.4062,55.8912, 0, -11.7747, 11.8898, 1541.84, 0, -12449.7,3.82568,5990.73
01/11/2018,12.07,12.19,11.9,12.14,12.14,3.83549e+07,0.0150502,0.0150502,0.0253472,-0.0251698, 0.0253472,0,0.0150502, 28.4194,55.8912, 0, -14.938, 12.0497, 1526.9, 0, -12265.8,3.87083,6270.78
01/12/2018,11.82,12.07,11.8,12.02,12.02,4.71493e+07,-0.00988468,-0.00988468,0.025042,-0.0248679, 0.025042,0,-0.00988468, 28.6168,55.8912, 0, 9.93386, 12.0799, 1536.83, 0, -12382,3.78766,6090.74
01/16/2018,12.05,12.2,11.8,11.91,11.91,4.26866e+07,-0.00915141,-0.00915141,0.0247615,-0.0245883, 0.0247615,0,-0.00915141, 28.8001,55.8912, 0, 9.19355, 11.9649, 1546.03, 0, -12488.3,3.66802,5924.86
01/17/2018,11.9,12.19,11.82,12.18,12.18,3.90208e+07,0.02267,0.02267,0.0248072,-0.0246328, 0.0248072,0,0.02267, 28.7701,55.8912, 0, -22.4169, 12.0442, 1523.61, 0, -12214.6,3.706,6342.95
01/18/2018,12.18,12.68,12.15,12.47,12.47,6.20862e+07,0.0238095,0.0238095,0.0248089,-0.0246362, 0.0248089,0,0.0238095, 28.7689,55.8912, 0, -23.5305, 12.3241, 1500.08, 0, -11920.9,3.79266,6785.15
01/19/2018,12.56,12.88,12.54,12.59,12.59,4.68007e+07,0.0096231,0.0096231,0.0233517,-0.0231908, 0.0233517,0,0.0096231, 29.7482,55.8912, 0, -9.57709, 12.5299, 1490.5, 0, -11797.4,3.41627,6968
