Date,Open,High,Low,Close,Adj Close,Volume,Change Percent,Temp Change Percent,Temp std derivation,Low Bound, High Bound,Fat change,Basic changes, Bottom,Top, Fat Position Change, Basic Position Change, Basic Change Price, Position, Offset, Cash,trading profit,Balance, fat_position, fat_cash, fat_balance
09/05/2014,65.7,66.98,65.37,66.98,59.2375,1.6005e+06,0.0183975,0.0183975,0.0162351,-0.0170468, 0.0162351,0.00212784,0.0162351, 66.9758,105.947, 2.12558, -16.1047, 58.6377, 581.384, 0, 7289.29,6.83232,41729, 2631.54, -79513.8, 76372.2
09/08/2014,66.52,66.56,66,66.41,58.7334,1.2616e+06,-0.00851008,-0.00851008,0.0149619,-0.01571, 0.0149619,0,-0.00851008, 69.1813,105.947, 0, 8.54649, 58.9849, 589.93, 0, 6791.78,6.60218,41440.4, 2631.54, -79513.8, 75045.6
09/09/2014,66.28,66.86,65.91,66.07,58.4327,872500,-0.00511995,-0.00511995,0.0133261,-0.0139924, 0.0133261,0,-0.00511995, 72.1788,105.947, 0, 5.1331, 58.5829, 595.063, 0, 6496.27,5.20171,41267.4, 2631.54, -79513.8, 74254.3
09/10/2014,66.1,66.8,65.83,66.37,58.698,939000,0.00454093,0.00454093,0.013273,-0.0139366, 0.013273,0,0.00454093, 72.2793,105.947, 0, -4.53065, 58.5652, 590.533, 0, 6766.76,5.15878,41429.9, 2631.54, -79513.8, 74952.5
09/11/2014,66.61,67.75,66.61,67.6,59.7859,1.3003e+06,0.0185325,0.0185325,0.0131158,-0.0137716, 0.0131158,0.00534661,0.0131158, 72.9663,106.513, 5.33236, -13.0305, 59.0817, 577.502, 0, 7540.24,3.61009,42066.7, 2636.87, -79832.6, 77815.2
09/12/2014,67.65,67.83,66.98,67.21,59.4409,833400,-0.00576934,-0.00576934,0.0133927,-0.0140624, 0.0133927,0,-0.00576934, 72.4381,106.513, 0, 5.78605, 59.6132, 583.288, 0, 7200.66,5.34627,41871.9, 2636.87, -79832.6, 76905.6
09/15/2014,67.35,67.41,66.21,66.43,58.7511,854300,-0.0116055,-0.0116055,0.0114736,-0.0120472, 0.0114736,0,-0.0116055, 76.22,106.513, 0, 11.6733, 59.095, 594.961, 0, 6514.72,3.88971,41469.4, 2636.87, -79832.6, 75086.6
09/16/2014,66.31,67.11,65.83,67.02,59.2729,1.299e+06,0.00888136,0.00888136,0.0117595,-0.0123475, 0.0117595,0,0.00888136, 75.638,106.513, 0, -8.84216, 59.0114, 586.119, 0, 7040.58,4.08023,41781.6, 2636.87, -79832.6, 76462.5
09/17/2014,67.14,68.37,67.14,67.93,60.0777,1.2495e+06,0.0135783,0.0135783,0.0105283,-0.0110547, 0.0105283,0.00301819,0.0105283, 78.4284,106.835, 3.01365, -10.4733, 59.5841, 575.646, 0, 7667.19,2.56656,42250.7, 2639.89, -80013.7, 78584.7
09/18/2014,68.03,68.38,67.67,68.36,60.7262,718300,0.010794,0.010794,0.0104957,-0.0110204, 0.0104957,0.000295251,0.0104957, 78.5213,106.866, 0.295207, -10.441, 60.3922, 565.205, 0, 8300.98,3.23535,42623.7, 2640.18, -80031.6, 80296.6
09/19/2014,68.68,69.31,67.88,68.24,60.6196,1.7884e+06,-0.00175532,-0.00175532,0.0105699,-0.0110984, 0.0105699,0,-0.00175532, 78.3629,106.866, 0, 1.75686, 60.6729, 566.962, 0, 8197.78,3.38927,42566.8, 2640.18, -80031.6, 80015.2
09/22/2014,68.2,68.22,67.26,67.7,60.1399,1.9987e+06,-0.00791345,-0.00791345,0.00924281,-0.00970495, 0.00924281,0,-0.00791345, 81.2686,106.866, 0, 7.94492, 60.3793, 574.907, 0, 7720.65,2.57909,42295.5, 2640.18, -80031.6, 78748.7
09/23/2014,68.49,68.62,66.75,66.86,59.3937,1.847e+06,-0.0124077,-0.0124077,0.00948024,-0.00995426, 0.00948024,-0.00247815,-0.00995426, 80.5369,106.602, -2.48122, 10.0041, 59.8398, 584.911, 0, 7124.15,2.15304,41864.2, 2637.7, -79884.2, 76778.6
09/24/2014,66.95,67.77,66.66,67.65,60.0955,1.3358e+06,0.0118159,0.0118159,0.009425,-0.00989625, 0.009425,0.00236857,0.009425, 80.8509,106.854, 2.36577, -9.38087, 59.6729, 575.53, 0, 7686.06,2.1181,42272.8, 2640.07, -80026.4, 78629.7
09/25/2014,67.52,67.7,66.42,66.43,59.0117,945200,-0.0180341,-0.0180341,0.00955046,-0.010028, 0.00955046,-0.00808726,-0.010028, 79.9199,105.99, -8.12014, 10.0786, 59.7934, 585.609, 0, 7084.93,1.50953,41642.7, 2631.95, -79547.2, 75768.5
09/26/2014,66.62,67.83,66.62,67.5,59.9623,814500,0.0161076,0.0161076,0.0102216,-0.0107327, 0.0102216,0.00582643,0.0102216, 78.9185,106.608, 5.80952, -10.1698, 59.3125, 575.439, 0, 7690.1,1.97359,42194.7, 2637.76, -79895.6, 78270.2
09/29/2014,66.92,67.17,66.31,66.93,59.4559,1.1108e+06,-0.0084449,-0.0084449,0.0102021,-0.0107122, 0.0102021,0,-0.0084449, 78.9606,106.608, 0, 8.48076, 59.7085, 583.92, 0, 7186.83,3.10731,41904.3, 2637.76, -79895.6, 76934.5
09/30/2014,67.34,67.77,67.06,67.29,59.7757,1.6243e+06,0.005379,0.005379,0.0103337,-0.0108504, 0.0103337,0,0.005379, 78.6774,106.608, 0, -5.36458, 59.6156, 578.555, 0, 7509.83,3.18305,42093.4, 2637.76, -79895.6, 77778.1
10/01/2014,67.06,67.15,63.87,63.99,56.8442,3.278e+06,-0.0490415,-0.0310012,0.00982102,-0.0103121, 0.00982102,-0.039133,-0.0103121, 76.6669,102.436, -39.9193, 10.3656, 59.4667, 588.921, 0, 6894.02,0.598108,40370.7, 2597.84, -77626.4, 70045.6
10/02/2014,64.03,64.55,61.8,64,56.8531,2.3861e+06,0.000156304,0.000156304,0.0115208,-0.0120968, 0.0115208,0,0.000156304, 73.2091,102.436, 0, -0.156292, 56.8486, 588.764, 0, 6906.68,3.77271,40379.8, 2597.84, -77626.4, 70068.7
10/03/2014,64.62,66.8,64.59,66.38,58.9673,2.3653e+06,0.0371875,0.0345623,0.0115077,-0.0120831, 0.0115077,0.0253877,0.0115077, 75.0941,105.036, 25.0707, -11.442, 57.1793, 577.322, 0, 7562.1,1.18086,41605.3, 2622.91, -79104.7, 75561.1
10/06/2014,66.48,67.11,65.4,65.96,58.5942,2.2086e+06,-0.00632717,-0.00632717,0.0130289,-0.0136803, 0.0130289,0,-0.00632717, 72.1189,105.036, 0, 6.34727, 58.7805, 583.67, 0, 7193.99,4.98903,41393.7, 2622.91, -79104.7, 74582.5
10/07/2014,64.97,65.02,61.49,62.09,55.1564,4.7097e+06,-0.058672,-0.0390866,0.0130902,-0.0137447, 0.0130902,-0.0455534,-0.0137447, 68.7227,100.252, -46.6236, 13.8401, 58.1901, 597.51, 0, 6389.79,1.15561,39346.3, 2576.28, -76533.2, 65565.3
10/08/2014,62.69,62.75,59.83,62.04,55.112,5.38e+06,-0.00080531,-0.00080531,0.0150888,-0.0158433, 0.0150888,0,-0.00080531, 65.2497,100.252, 0, 0.805635, 55.1342, 598.315, 0, 6351.65,6.27626,39326, 2576.28, -76533.2, 65450.9
10/09/2014,61.32,62.05,58.01,58.18,51.683,6.0734e+06,-0.0622179,-0.0452664,0.0150629,-0.015816, 0.0150629,-0.0471475,-0.015816, 62.2146,95.5249, -48.2952, 15.9425, 54.6744, 614.258, 0, 5481.56,1.55805,37228.3, 2527.99, -74037.1, 56616.9
10/10/2014,57.65,59.22,56.8,57.82,51.3632,4.3615e+06,-0.00618759,-0.00618759,0.0172225,-0.0180836, 0.0172225,0,-0.00618759, 58.9098,95.5249, 0, 6.20681, 51.5229, 620.465, 0, 5169.41,7.64123,37038.5, 2527.99, -74037.1, 55808.5
10/13/2014,57.83,57.9,54.49,55.35,49.169,6.377e+06,-0.0427191,-0.0427191,0.0171761,-0.0180349, 0.0171761,-0.0251375,-0.0180349, 57.4954,93.1236, -25.4588, 18.1996, 50.8979, 638.664, 0, 4246.23,3.13639,35648.7, 2502.53, -72785.3, 50261.6
10/14/2014,56.44,57.64,54.91,56.61,50.2883,4.6683e+06,0.0227644,0.0227644,0.018717,-0.0196528, 0.018717,0.00397308,0.018717, 55.5674,93.4936, 3.96521, -18.544, 49.627, 620.12, 0, 5173.68,7.17068,36358.5, 2506.5, -72984.7, 53062.7
10/15/2014,55.46,56.51,52.32,54.94,48.8048,7.3226e+06,-0.0295,-0.0295,0.0191618,-0.0201199, 0.0191618,-0.00957268,-0.0201199, 54.4411,92.5986, -9.61879, 20.3251, 49.7799, 640.445, 0, 4168.1,6.19263,35424.9, 2496.88, -72515.3, 49344.3
10/16/2014,54.07,57,53.75,56.36,50.0662,4.6099e+06,0.025846,0.025846,0.0196556,-0.0206384, 0.0196556,0.00607106,0.0196556, 54.1191,93.1608, 6.0527, -19.4649, 49.2821, 620.98, 0, 5134.64,7.27338,36224.8, 2502.93, -72818.3, 52493.9
10/17/2014,55.94,58.79,55.31,57.71,51.2655,5.2136e+06,0.0239532,0.0239532,0.020095,-0.0210997, 0.020095,0.00378229,0.020095, 53.7508,93.5132, 3.77516, -19.8957, 50.5668, 601.085, 0, 6149.3,8.59235,36964.2, 2506.7, -73011.9, 55495.5
10/20/2014,58.7,61.31,58.37,61.23,54.3924,5.5658e+06,0.0609948,0.0602849,0.0202084,-0.0212189, 0.0202084,0.0399785,0.0202084, 55.7473,97.2517, 39.2, -20.007, 51.7809, 581.078, 0, 7188.83,3.55006,38795, 2545.9, -75144.1, 63333.8
10/21/2014,62.63,65.33,62.63,63.46,56.3734,6.5054e+06,0.0364199,0.0364199,0.0216987,-0.0227837, 0.0216987,0.0144085,0.0216987, 54.5778,98.6529, 14.3057, -21.4667, 54.9794, 559.611, 0, 8376.83,7.77821,39924, 2560.21, -75950.5, 68377.2
10/22/2014,63.83,64.68,62.87,63.42,56.3379,4.9316e+06,-0.000630138,-0.000630138,0.0221625,-0.0232706, 0.0221625,0,-0.000630138, 53.9851,98.6529, 0, 0.630336, 56.3556, 560.241, 0, 8355.15,13.8402,39917.9, 2560.21, -75950.5, 68286.2
10/23/2014,61.8,62.47,60.2,62.29,55.334,7.6161e+06,-0.0178179,-0.0178179,0.0221582,-0.0232662, 0.0221582,0,-0.0178179, 53.9904,98.6529, 0, 17.9785, 55.8337, 578.22, 0, 7365.04,13.7068,39360.3, 2560.21, -75950.5, 65716.2
10/24/2014,61.68,64.99,61.35,64.55,57.3417,3.0942e+06,0.0362821,0.0362821,0.022152,-0.0232596, 0.022152,0.0138238,0.022152, 54.7448,100.017, 13.7292, -21.9102, 55.9436, 556.31, 0, 8599.23,8.45178,40499, 2573.94, -76737.8, 70856.2
10/27/2014,63.9,64.37,63.39,63.83,56.7021,1.9672e+06,-0.0111542,-0.0111542,0.0225929,-0.0237225, 0.0225929,0,-0.0111542, 54.1822,100.017, 0, 11.2168, 57.021, 567.527, 0, 7974.19,14.5528,40154.1, 2573.94, -76737.8, 69209.9
10/28/2014,64.27,65.9,63.98,65.89,58.532,1.9999e+06,0.0322732,0.0322732,0.0225891,-0.0237185, 0.0225891,0.00947019,0.0225891, 54.7002,100.964, 9.42563, -22.3377, 57.3389, 545.189, 0, 9265.32,10.3077,41176.3, 2583.36, -77289.5, 73920.1
10/29/2014,66.1,67.37,65.94,66.44,59.0206,3.034e+06,0.00834721,0.00834721,0.0228939,-0.0240386, 0.0228939,0,0.00834721, 54.3126,100.964, 0, -8.31256, 58.7758, 536.876, 0, 9769.3,15.4031,41456.1, 2583.36, -77289.5, 75182.3
10/30/2014,66.28,67.89,65.8,67.82,60.2465,2.5373e+06,0.0207706,0.0207706,0.0228612,-0.0240042, 0.0228612,0,0.0207706, 54.354,100.964, 0, -20.5579, 59.6304, 516.318, 0, 11010.8,15.5824,42117.1, 2583.36, -77289.5, 78349.2
10/31/2014,68.33,68.73,67.58,67.97,60.3798,2.035e+06,0.0022119,0.0022119,0.022955,-0.0241028, 0.022955,0,0.0022119, 54.2354,100.964, 0, -2.20945, 60.3131, 514.109, 0, 11159.9,15.8905,42201.7, 2583.36, -77289.5, 78693.5
11/03/2014,68.4,69.3,67.66,68.4,60.7617,1.7355e+06,0.00632611,0.00632611,0.0229505,-0.0240981, 0.0229505,0,0.00632611, 54.2411,100.964, 0, -6.30618, 60.5704, 507.803, 0, 11557.8,15.952,42412.8, 2583.36, -77289.5, 79680.2
11/04/2014,67.53,67.66,66.08,66.29,58.8874,3.9629e+06,-0.0308479,-0.0308479,0.0229218,-0.0240679, 0.0229218,-0.00694717,-0.0240679, 53.9003,100.262, -6.97142, 24.3623, 60.0261, 532.165, 0, 10107.7,12.237,41445.5, 2576.39, -76878.9, 74838.1
11/05/2014,67.25,67.5,66.75,67.33,59.8112,2.0358e+06,0.0156888,0.0156888,0.0232113,-0.0243718, 0.0232113,0,0.0156888, 53.5389,100.262, 0, -15.567, 59.3475, 516.598, 0, 11047.5,15.9871,41945.9, 2576.39, -76878.9, 77218.3
11/06/2014,67.48,68.07,66.95,67.78,60.211,1.8255e+06,0.00668326,0.00668326,0.0232411,-0.0244032, 0.0232411,0,0.00668326, 53.5018,100.262, 0, -6.66103, 60.0108, 509.937, 0, 11463.5,16.2074,42167.3, 2576.39, -76878.9, 78248.2
11/07/2014,67.13,67.61,66.56,67.2,59.6957,1.6271e+06,-0.0085568,-0.0085568,0.0231106,-0.0242661, 0.0231106,0,-0.0085568, 53.6642,100.262, 0, 8.59362, 59.9528, 518.531, 0, 10964.3,16.0104,41918.4, 2576.39, -76878.9, 76920.8
11/10/2014,67.11,68.21,66.88,67.98,60.3886,1.4932e+06,0.0116071,0.0116071,0.0230882,-0.0242426, 0.0230882,0,0.0116071, 53.6921,100.262, 0, -11.5402, 60.0412, 506.99, 0, 11673.2,16.0029,42289.6, 2576.39, -76878.9, 78706
11/11/2014,67.83,67.89,67.27,67.78,60.211,1.2305e+06,-0.00294229,-0.00294229,0.0230784,-0.0242324, 0.0230784,0,-0.00294229, 53.7043,100.262, 0, 2.94663, 60.2997, 509.937, 0, 11511.5,16.0582,42215.3, 2576.39, -76878.9, 78248.2
11/12/2014,67.29,67.86,66.77,67.56,60.0155,1.3419e+06,-0.00324575,-0.00324575,0.0230856,-0.0242398, 0.0230856,0,-0.00324575, 53.6954,100.262, 0, 3.25103, 60.1132, 513.188, 0, 11332.1,16.0184,42131.4, 2576.39, -76878.9, 77744.7
