Date,Open,High,Low,Close,Adj Close,Volume,Change Percent,Temp Change Percent,Temp std derivation,Low Bound, High Bound,Fat change,Basic changes, Bottom,Top, Fat Position Change, Basic Position Change, Basic Change Price, Position, Offset, Cash,trading profit,Balance, fat_position, fat_cash, fat_balance, orig_position, orig_trade_profit, orig_cash, orig_balance
03/15/2019,180.66,181.45,179.66,180.97,180.97,1.08441e+07,0.00338212,0.00338212,0.0164692,-0.0164692, 0.0164692,0,0.00338212, 62.5933,140.835, 0, 0, 180.665, 0, 0, 40375.8,30.265,40375.8, 0, 49.059, 157.989, -250.742, 24.5014, 75757.2, 30380.3
03/18/2019,181.93,182.89,180.76,181.83,181.83,7.8478e+06,0.00475217,0.00475217,0.0164126,-0.0164126, 0.0164126,0,0.00475217, 62.5933,140.835, 0, 0, 181.399, 0, 0, 40406,30.2001,40406, 0, 49.059, 157.989, -255.483, 24.4322, 76641.6, 30187.1
03/19/2019,181.63,183.36,180.85,182.14,182.14,1.02386e+07,0.00170487,0.00170487,0.0163828,-0.0163828, 0.0163828,0,0.00170487, 62.5933,140.835, 0, 0, 181.985, 0, 0, 40436.1,30.1416,40436.1, 0, 49.059, 157.989, -257.187, 24.4219, 76976, 30132.1
03/20/2019,180.94,181.95,178.43,181.28,181.28,1.59015e+07,-0.00472164,-0.00472164,0.0162681,-0.0162681, 0.0162681,0,-0.00472164, 62.5933,140.835, 0, 0, 181.709, 0, 0, 40465.7,29.5809,40465.7, 0, 49.059, 157.989, -252.454, 24.0449, 76140.1, 30375.2
03/21/2019,178.95,181.73,178.52,181.5,181.5,9.7545e+06,0.0012136,0.0012136,0.0154553,-0.0154553, 0.0154553,0,0.0012136, 62.5933,140.835, 0, 0, 181.39, 0, 0, 40492.4,26.7312,40492.4, 0, 49.059, 157.989, -253.667, 21.664, 76381.7, 30341.2
03/22/2019,179.77,180.48,175.336,176.26,176.26,1.16884e+07,-0.0288706,-0.0288706,0.0154402,-0.0154402, 0.0154402,-0.013641,-0.0154402, 62.5933,140.835, 0, 0, 180.093, 0, 0, 40518.3,25.9087,40518.3, 0, 49.059, 157.989, -224.371, 21.3201, 71163.2, 31615.6
03/25/2019,174.33,178.9,174.1,178.77,178.77,7.5114e+06,0.0142404,0.0142404,0.015591,-0.015591, 0.015591,0,0.0142404, 62.5933,140.835, 0, 0, 177.511, 0, 0, 40545.1,26.7933,40545.1, 0, 49.059, 157.989, -238.511, 21.5744, 73694.8, 31056.2
03/26/2019,179.7,180.65,177.095,178.08,178.08,7.8979e+06,-0.00385972,-0.00385972,0.0157524,-0.0157524, 0.0157524,0,-0.00385972, 62.5933,140.835, 0, 0, 178.425, 0, 0, 40572.4,27.2455,40572.4, 0, 49.059, 157.989, -234.644, 22.137, 73026.9, 31241.5
03/27/2019,177.7,179.83,176.913,177.03,177.03,8.371e+06,-0.00589624,-0.00589624,0.01579,-0.01579, 0.01579,0,-0.00589624, 62.5933,140.835, 0, 0, 177.554, 0, 0, 40599.6,27.2143,40599.6, 0, 49.059, 157.989, -228.73, 22.1342, 71999.1, 31507
03/28/2019,177.47,178.53,175.97,177.73,177.73,7.1468e+06,0.00395412,0.00395412,0.0158232,-0.0158232, 0.0158232,0,0.00395412, 62.5933,140.835, 0, 0, 177.38, 0, 0, 40627,27.4371,40627, 0, 49.059, 157.989, -232.677, 22.2057, 72721.3, 31367.7
03/29/2019,180.73,182.6,179,182.45,182.45,1.38509e+07,0.0265571,0.0265571,0.0158226,-0.0158226, 0.0158226,0.0105674,0.0158226, 62.5933,140.835, 0, 0, 179.131, 0, 0, 40655.2,28.1633,40655.2, 0, 49.059, 157.989, -258.887, 22.5412, 77463.7, 30229.7
04/01/2019,185.09,185.56,180.89,180.89,180.89,1.27148e+07,-0.00855028,-0.00855028,0.0163809,-0.0163809, 0.0163809,0,-0.00855028, 62.5933,140.835, 0, 0, 181.668, 0, 0, 40685.1,29.928,40685.1, 0, 49.059, 157.989, -250.3, 24.3739, 75928.1, 30651.3
04/02/2019,181.46,183.563,180.95,181.74,181.74,8.0215e+06,0.00469902,0.00469902,0.0162442,-0.0162442, 0.0162442,0,0.00469902, 62.5933,140.835, 0, 0, 181.315, 0, 0, 40714.7,29.5686,40714.7, 0, 49.059, 157.989, -254.988, 23.922, 76802, 30460.4
04/03/2019,179.51,180.7,176.76,178.32,178.32,2.68116e+07,-0.0188181,-0.0188181,0.015745,-0.015745, 0.015745,-0.00312221,-0.015745, 62.5933,140.835, 0, 0, 180.304, 0, 0, 40741.9,27.2567,40741.9, 0, 49.059, 157.989, -235.991, 22.3143, 73404.4, 31322.5
04/04/2019,177.04,181.96,176.89,181.07,181.07,1.69932e+07,0.0154217,0.0154217,0.0162089,-0.0162089, 0.0162089,0,0.0154217, 62.5933,140.835, 0, 0, 179.69, 0, 0, 40771.3,29.3318,40771.3, 0, 49.059, 157.989, -251.295, 23.6047, 76177.9, 30676
04/05/2019,182.51,185.5,182,185.35,185.35,1.8705e+07,0.0236373,0.0236373,0.0163913,-0.0163913, 0.0163913,0.00712912,0.0163913, 62.5933,140.835, 0, 0, 182.548, 0, 0, 40802,30.7047,40802, 0, 49.059, 157.989, -274.657, 24.6102, 80482.4, 29574.8
04/08/2019,184.19,187.82,184.01,186.5,186.5,1.47256e+07,0.00620445,0.00620445,0.0160134,-0.0160134, 0.0160134,0,0.00620445, 62.5933,140.835, 0, 0, 185.924, 0, 0, 40831.4,29.4872,40831.4, 0, 49.059, 157.989, -280.842, 23.8382, 81656.3, 29279.2
